channel,cell_type,sta_p2p,sta_psnr,reg_sta_p2p,reg_sta_psnr
12a,ON-OFF,0.20161810805827032,7.0092996780896435,0.017728077938625308,7.858394533563995
12b,ON-OFF,0.2412127375579991,7.624689939898407,0.027428056335251257,8.022570756402557
13a,ON-OFF,0.24379478276222283,7.6756983642028604,0.026336984782885594,10.02940419517338
13b,Unknown,0.4336158192090395,10.998264210347873,0.051758423383579485,12.366044700152695
14a,ON,0.21265351913084554,7.324425538999579,0.023243141063959732,8.251425334505194
14b,Unknown,0.21586109807602066,7.419774556222384,0.023550171105360587,8.01561870460275
16a,ON-OFF,0.19300948828156678,6.806521373641822,0.019638991419544907,9.247499918372075
16b,ON,0.3932291666666667,8.621208909643588,0.06314955216917545,8.235235649390294
17a,ON,0.1771275407639044,6.393863732296902,0.01813232056871075,7.946981540109641
17b,ON,0.22228060956384654,6.963857064688528,0.023242460028172443,7.726052786220765
17c,ON,0.32577319587628867,8.4895478045842,0.040287832432981355,8.733092168751254
17d,ON-OFF,0.22700587084148727,6.813877117227172,0.035185552639444555,9.227330752259542
17e,Unknown,0.6792452830188679,7.661741397295419,0.11523318089027773,8.234433669115315
21a,ON-OFF,0.18369478622643182,6.4337635844861065,0.020523962529760558,8.191955184815438
22a,ON-OFF,0.20426910210800192,6.823789514395922,0.024507184039124635,8.491106091842362
23a,Unknown,0.2607851215349303,8.05215431612988,0.034981759265371365,11.821935424704956
23b,ON,0.31067861188343115,9.626230113286478,0.03249111048488767,12.56662254917561
24a,ON,0.25560304674228723,8.152896379502792,0.03247635403296452,11.270922751627882
24b,ON,0.25007256894049346,8.370816008103903,0.031846252752088314,11.0167122004266
25a,ON-OFF,0.18819728710169353,6.666200500323848,0.019708158763839082,9.751127282904395
25b,Unknown,0.3487858719646799,8.065503234654646,0.06097449418068725,8.268465381739224
26a,ON-OFF,0.17931495608303194,6.430350053745453,0.016333276285423692,7.9735256972966875
26b,ON,0.20503288533028308,6.879911963071772,0.023951779756550624,8.133836114739953
28a,ON,0.22816750178954903,7.510826645609946,0.036988630840108415,12.2596119298114
28b,ON-OFF,0.37219574567011504,9.835792096542317,0.028830633874579348,10.175920739892122
31a,ON,0.24114295152366008,7.373597382422428,0.030502768022776128,9.14746596803872
31b,ON,0.22758397584515017,7.158987444386211,0.022923836373262077,8.120135078680217
31c,ON,0.3505527210884354,9.53839324105863,0.033579037896626196,10.270354099950831
32a,ON-OFF,0.18749921697841365,6.665456449224902,0.018391248347417836,8.635269553796698
32b,ON,0.2583217061989237,7.989460737628487,0.020867946784321217,7.888838031861829
33a,ON-OFF,0.20663662433428923,6.57150649012581,0.022678420350276417,7.718914367642702
33b,Unknown,0.5785302593659942,12.079496955177719,0.07747041186892994,13.439620440202145
34a,ON,0.1926368480542548,6.563412456670763,0.023954126246157968,8.474251528098419
34b,ON,0.1910064962456762,6.486501915184511,0.02165497219632692,7.813034507074451
35a,OFF,0.1780283615240048,6.429111896201909,0.015542240735429324,8.067609636218508
35b,ON-OFF,0.19049645390070924,6.711003892217647,0.021094133441431025,8.461347876056132
36a,OFF,0.20072232254479788,6.992055712222046,0.022056442625885173,8.242624698482643
36b,ON-OFF,0.190153150375167,6.73541658262452,0.018901399286726815,8.328944682203899
37a,Unknown,0.1788168026928575,6.445589240096708,0.01575905141206382,7.949899938154543
37b,Unknown,0.19660194174757284,6.7121877997167685,0.024518539204173767,8.424543244031245
38a,Unknown,0.19143994691439947,6.757671429354675,0.020557279565708776,8.286246966767983
38b,ON,0.193986013986014,6.793035908498187,0.021198168969513334,8.24094055448944
41a,ON-OFF,0.19097791305705142,6.626350421334409,0.01859670931316973,8.03115010996712
41b,ON,0.2637113195580332,8.359485324973416,0.024608587932653705,10.251744550834305
42a,ON-OFF,0.21273965908764264,6.831900002570897,0.029756293397255107,9.341379155538014
42b,ON,0.32496852706672263,9.313647117672858,0.030397349680328846,11.340579083211749
43a,ON-OFF,0.2111284726820096,7.089479924698023,0.022907281601656018,8.36739468478812
43b,ON,0.6301351166916882,14.285568089406361,0.08917873944449459,15.741400564503783
43c,Unknown,0.5655127790359107,13.811710133250543,0.05970862392107943,14.189195328112769
46a,OFF,0.17720626438061307,6.377330451630451,0.015519254429250378,7.944839977915721
46b,ON-OFF,0.22206605762473647,6.952249670464542,0.03300908405527783,7.781849550696594
46c,ON,0.4173913043478261,7.3996834769168025,0.10502173178176935,8.433467272488535
46d,Unknown,0.277363184079602,7.824247203624137,0.04042080043236681,8.317227672669173
47a,ON,0.17671512788594781,6.3887770367227406,0.015965798284012882,8.29296255873075
47b,ON,0.1891711229946524,6.5865793659485465,0.0220134195933573,8.167917205743658
51a,OFF,0.3602015113350126,10.352300406083891,0.03002282138972176,12.07697338434784
51b,ON-OFF,0.2198303044201112,7.342453889747872,0.02220251216395256,8.145636090791461
52a,OFF,0.2048904605830602,7.05109230290742,0.025490078764762798,11.67348006507169
52b,ON-OFF,0.19267832306775284,6.629644313359278,0.018400460219865054,8.256139608640058
52c,ON-OFF,0.20548663288485058,7.018681364710709,0.020237788672591437,8.179379996592017
55a,Unknown,0.1818795343344019,6.527184123532201,0.016554898445996398,8.112092450414934
55b,ON,0.19680743584562538,6.733588131828212,0.025596310341900807,8.916331153172607
56a,ON,0.18015414258188825,6.513525236304219,0.01671723269937892,8.5235699735934
56b,ON,0.1826189078097475,6.580900386654609,0.02012678720389756,8.504615158612685
57a,Unknown,0.173904421971049,6.225135193711795,0.018049808655446663,7.98536479980173
57b,Unknown,0.18883610451306412,6.665035979950548,0.019947180862539885,8.327879624468281
57c,Unknown,0.18463775139326388,6.576604779846426,0.019766236283290967,8.636726442956729
61a,ON-OFF,0.23988725150825835,7.604126420696442,0.023453655262733894,9.558712762222966
61b,ON,0.2755693874664026,8.337423063170764,0.02822765489523115,10.288385503404719
61c,ON,0.6626180836707153,11.34952765043275,0.09418122241650173,13.775864958590635
61d,ON,0.32202662086732503,8.4292907851671,0.035088818261879776,8.297070073183544
62a,ON-OFF,0.2202624220262422,7.189001525622392,0.023943779411828528,10.578671855675179
62b,ON-OFF,0.18732084846168545,6.187194306573942,0.02279763310815543,9.317437644489628
63a,ON,0.19021041369472183,6.63868324335196,0.019082087065879,8.986145655670088
64a,ON,0.1934229378453981,6.833874427951125,0.017393855991723904,7.845469978988867
64b,ON-OFF,0.23526682134570764,7.347625472815349,0.027371864925626085,8.649797790363067
67a,ON-OFF,0.18269615025975755,6.565353568916728,0.018610410647800342,8.545908177236573
67b,ON,0.4036343612334802,8.712619406253001,0.046335648556392564,8.909359836612904
67c,Unknown,1.0,5.6230594028012115,0.3830338820996523,8.324055009900887
68a,ON-OFF,0.17721141664803636,6.352823544484505,0.015902873984821916,7.6805889471027395
68b,ON-OFF,0.18494055482166447,6.314297462463248,0.024104787723097473,8.5593825755356
71a,ON,0.2000280445908995,6.789532545516525,0.02088229538322233,8.68238944840159
71b,Unknown,0.19829993174908483,6.969266872837212,0.018250876284413384,7.773138287876644
71c,Unknown,0.20415504991456068,6.6960509221724145,0.022249965973738677,8.12722481740838
76a,ON-OFF,0.19352642653793786,6.819817729716048,0.016309449379217883,7.743698185856261
76b,ON,0.33463035019455256,8.71458810514242,0.032391371515072265,8.650984486436542
77a,OFF,0.40296920008863285,11.684282754929109,0.06002084221761225,19.32445776727468
77b,Unknown,0.22802675233029648,7.1404135122833905,0.027824940011638766,8.224400975175891
77c,ON,0.21124948839384902,7.015146607438718,0.02077241970538261,7.974794464356502
78a,ON-OFF,0.25033763708065476,8.211867590651892,0.03437791004597981,13.808992470448667
78b,ON,0.5881893047013447,13.167133495470098,0.10057367976126913,16.599076272799213
83a,ON-OFF,0.20666923504986945,7.120320225650625,0.020870260487561236,10.18982547255887
83b,ON,0.21283971159179144,7.282829242127395,0.021286913914429065,8.171441680207904
84a,OFF,0.28677877645694405,9.203496202113184,0.0361529752033679,15.483398920753569
84b,ON,0.18930390492359933,6.772047755512276,0.016037336347832176,7.689955797038944
84c,ON-OFF,0.19595326990244488,6.906181946486131,0.018572668905147457,7.856625292488466
85a,ON,0.1787144961620965,6.464740253941575,0.016294988721560377,8.009327519591878
85b,Unknown,0.22905759162303665,7.663797058948445,0.02783893491221693,8.281172753534861
86a,OFF,0.31379516720281286,10.183467344313774,0.031103048512189674,14.19112781159458
86b,ON,0.24966393332437156,8.139633072783182,0.02555054060974913,9.080081717716261
87a,ON-OFF,0.2577027360118314,8.222792026656458,0.02404956483653884,9.216878886165997
87b,Unknown,0.5049887048192772,13.971048130145727,0.0728165997171813,18.93070141210797
